,RevalYear,TaxYear,LandValue,BuildingValue,ObxfValue,TotalMarketValue,DeferredValue,TotalAssessedValue,buildingId,id,BuildingNumber,ImprovementType,ValuationModel,QualityCode,ActualYearBuilt,HeatedAreaCard,BedroomCountTotal,BathCountTotal,HalfBathCountTotal,ParcelID,ParcelNumber
0,2023,2023,1875000,2584730,0,4459730,0,4459730,1,26500011,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,2009,"5,137 sqft",9,9,1,13603741,26500011
1,2023,2023,150000,802610,0,952610,0,952610,1,2642A026,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2011,"2,017 sqft",3,2,1,13602887,2642A026
2,2023,2023,185000,1377620,0,1562620,0,1562620,1,2654M004,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,2012,"2,616 sqft",5,5,1,13604193,2654M004
3,2023,2023,1250000,1207370,20470,2477840,0,2477840,1,2654A005,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2011,"3,536 sqft",2,2,1,13603816,2654A005
4,2023,2023,1250000,3470120,77700,4797820,0,4797820,1,26600012,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,6 - SUPERIOR,2004,"5,453 sqft",7,6,1,13604213,26600012
5,2023,2023,2500000,1957740,37720,4495460,0,4495460,1,26600010,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,6 - SUPERIOR,2005,"5,514 sqft",5,5,1,13604211,26600010
6,2023,2023,90000,894210,0,984210,0,984210,1,2641E012,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2010,"2,816 sqft",5,4,1,13621903,2641E012
7,2023,2023,90000,664290,5140,759430,0,759430,1,2641E027,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1995,"2,542 sqft",3,2,1,13621919,2641E027
8,2023,2023,90000,1088890,27580,1206470,0,1206470,1,2641E026,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,2006,"3,124 sqft",3,3,1,13621917,2641E026
9,2023,2023,90000,702850,12830,805680,0,805680,1,2604A010,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2003,"1,994 sqft",4,3,0,13620324,2604A010
10,2023,2023,1200000,1101670,6510,2308180,0,2308180,1,2601B072,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2003,"3,248 sqft",3,4,0,13620249,2601B072
11,2023,2023,90000,1196240,4580,1290820,0,1290820,1,2642D020,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,2003,"2,060 sqft",5,5,0,13603031,2642D020
12,2023,2023,160000,583650,280,743930,0,743930,1,2643B014,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1974,"2,532 sqft",4,2,1,12206179,2643B014
13,2023,2023,450000,604570,7530,1062100,0,1062100,1,2643B012,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1975,"2,424 sqft",4,3,0,12206336,2643B012
14,2023,2023,560000,560310,0,1120310,0,1120310,1,2643C002,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1987,"1,456 sqft",4,2,0,12930614,2643C002
15,2023,2023,240000,745320,450,985770,0,985770,1,2643B019,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1981,"2,559 sqft",4,3,0,12206337,2643B019
16,2023,2023,525000,453650,0,978650,0,978650,1,2643A026,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1978,"1,535 sqft",4,2,2,13603359,2643A026
17,2023,2023,300000,753080,4400,1057480,0,1057480,1,2643A001,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1982,"2,204 sqft",4,3,1,13603334,2643A001
18,2023,2023,525000,844890,9160,1379050,0,1379050,1,2643A021,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1984,"2,818 sqft",4,3,0,13603354,2643A021
19,2023,2023,525000,838940,360,1364300,0,1364300,1,2643A019,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1985,"2,523 sqft",4,5,0,13603352,2643A019
20,2023,2023,300000,635480,0,935480,0,935480,1,2643A016,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,404 sqft",4,2,0,13603349,2643A016
21,2023,2023,525000,1385380,7350,1917730,0,1917730,1,2643A036,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,2007,"3,722 sqft",4,4,1,13603369,2643A036
22,2023,2023,525000,569710,330,1095040,0,1095040,1,2643A056,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1982,"2,237 sqft",4,2,0,12206322,2643A056
23,2023,2023,525000,619050,0,1144050,0,1144050,1,2641A019,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"1,872 sqft",4,2,0,12206161,2641A019
24,2023,2023,90000,473080,3000,566080,0,566080,1,2641E029,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1978,"1,902 sqft",4,2,0,12956113,2641E029
25,2023,2023,995000,738680,10650,1744330,0,1744330,1,2604G004,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1981,"3,265 sqft",3,2,0,12956089,2604G004
26,2023,2023,995000,840710,7200,1842910,0,1842910,1,2604G012,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"2,555 sqft",4,4,0,12956085,2604G012
27,2023,2023,90000,416830,9160,515990,0,515990,1,2641E020,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1979,"1,224 sqft",3,1,0,12956117,2641E020
28,2023,2023,325000,742060,0,1067060,0,1067060,1,2641D018,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,144 sqft",4,3,0,13621876,2641D018
29,2023,2023,345000,806580,1240,1152820,0,1152820,1,2641I002,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1984,"2,436 sqft",4,3,0,13622026,2641I002
30,2023,2023,160000,620110,1920,782030,0,782030,1,2641I008,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"1,627 sqft",3,2,0,13622032,2641I008
31,2023,2023,345000,761060,0,1106060,0,1106060,1,2641I036,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,1983,"1,932 sqft",4,4,0,13622059,2641I036
32,2023,2023,345000,758600,660,1104260,0,1104260,1,2641I037,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,164 sqft",4,3,0,13622060,2641I037
